country,population,cgdp00,rgdpl00,rgdpch00,rgdpeqa00,rgdpwok00,rgdptt00
838769,8877.41,25231.77,25231.77,25231.77,27788.29,46544.49,25231.77
677269,7167.49,28831.25,28831.25,28831.25,31595.89,54306.37,28831.25
838982,16305.66,2000.89,2000.89,2000.89,2505.81,6270.41,2000.89
849065,33767.57,816.66,816.66,816.66,1047,1585.44,816.66
847265,62352.04,6473.6,6473.6,6473.6,7423.85,10876.34,6473.6
847179,5032.78,823.17,823.17,823.17,1059.42,1947.4,823.17
848479,1125.07,14770.03,14770.03,14770.03,16889.69,33101.83,14770.03
848578,9593.4,6993.31,6993.31,6993.31,8237.12,17288.78,6993.31
848582,68234.39,5714.59,5714.59,5714.59,6750.85,12205.45,5714.59
857165,23495.92,1057.79,1057.79,1057.79,1413.22,2162.73,1057.79
716682,58669.74,24666.41,24666.41,24666.41,27270.77,49224.53,24666.41
858365,284153.7,34364.5,34364.5,34364.5,38525.22,67078.86,34364.5
658269,2369.15,32181.68,32181.68,32181.68,36695.19,61591.73,32181.68
858289,3334.07,10739.74,10739.74,10739.74,12259.97,23855.48,10739.74
866978,23542.65,7322.97,7322.97,7322.97,8806.94,17913.33,7322.97
907766,9798.53,865.65,865.65,865.65,1127.88,2051.3,865.65
908769,12185.93,3255.93,3255.93,3255.93,4137.14,7301.93,3255.93
